,0
BRGDG-1,294.56801507587124
ABERU-1,270.22726467532186
BRGG-1,409.6916573259573
BRIDU-1,279.01996966637387
CORB-1,323.84141281574887
COWE1,354.7560427807487
COWE2,354.7560427807487
CROYD-2,291.1582321394101
DBFRM-1,259.10495036679043
DERW-1,416.76515474217285
DIDC01G,237.90895729575695
DIDC02G,359.62606436712105
DIDC03G,517.3343645718969
DIDC04G,493.08565853393674
FAWN-1,474.5005257026575
FDUNT-1,240.5173978911444
FELL-1,377.0636797443082
GYAR-1,200.6413089042029
KLYN-A-1,236.49030744561475
LNMTH-1,315.31789473684216
LNMTH-2,292.42003595998955
LNMTH-3,275.6682146348542
MDLWH-1,281.9782341063832
PETEM1,350.1535788920226
PETDG-1,294.56801507587124
SEVIU-1,268.60674544333506
SHOS-1,212.93277716518173
SOLUU-1,275.21360033894666
TAYL2G,498.95156379495756
TAYL3G,522.7337122568399
THRNL-1,300.756093682468
VKING-2,351.7025950245524
CARR-1,214.18104194518716
CARR-2,226.41283363970584
CDCL-1,175.95954472516115
CNQPS-1,210.6268653274691
CNQPS-2,299.31989673202617
CNQPS-3,295.7096581196581
CNQPS-4,149.46998617142265
COSO-1,327.53070361395936
DAMC-1,203.01684357174523
DIDCB5,168.07616788319282
DIDCB6,209.26544865793204
EECL-1,162.07199579831934
GRAI-6,134.50653409090907
GRAI-7,425.4721156108193
GRAI-8,162.47849494949497
GRAI1G,321.6891427060052
GRAI4G,261.1860362528031
GRMO-1,401.12190253036346
HUMR-1,227.2148419933585
INDQ-1,549.0319999999999
KEAD-1,202.32200457683075
KEAD-2,436.9821969812574
KEADGT-3,281.2731656642974
KILLPG-1,383.1820327319449
KILLPG-2,343.5312293804985
LAGA-1,367.48104311479193
LBAR-1,175.52936633727032
LBAR-1G,298.0289810253357
MEDP-1,101.1861939102564
MRWD-1,184.84373124057316
PEHE-1,220.56978360430992
PEHE-2,421.91272537299534
PEHED-1,427.9724727564363
PEMB-11,177.7041958417556
PEMB-21,171.31859317158546
PEMB-31,179.65738084910078
PEMB-41,187.33651382902298
PEMB-51,148.55860833333332
RATS-1,314.5397916099085
RATS-2,439.16540974321344
RATS-3,299.0584272875817
RATS-4,198.45948588722135
RATSGT-2,413.8280955402442
RATSGT-4,392.773541963461
ROCK-1,344.05844029480994
RYHPS-1,275.1679860131011
SCCL-1,275.4654932950192
SCCL-2,372.33714840898654
SCCL-3,170.26647183337252
SEAB-1,232.89815344688412
SEAB-2,225.56993512689937
SEEL-1,432.67091778457933
SHBA-1,229.73663556372193
SHBA-2,232.66785829610262
SPLN-1,209.21450580480123
STAY-1,180.592648225065
STAY-2,173.77773434223727
STAY-3,196.41120511539745
STAY-4,188.22962468722642
SUTB-1,375.11247001251235
SVRP-10,410.31161733645826
SVRP-20,317.0540861364484
TSREP-1,332.16158003213866
WBURB-1,192.40676027285292
WBURB-2,200.6103019563262
WBURB-3,190.9164017853768
WILCT-1,326.1148371663852
DRAXD-2,381.5968228058672
MARK-1,262.14125653393245
TIBG-1,383.74844858809143
DRAXX-1,341.8354199134199
DRAXX-2,369.4225785188818
DRAXX-3,434.0853093369363
DRAXX-4,262.1732754039116
DRAXX-5,346.55335640775104
DRAXX-6,451.81301744220355
