,0
BRGDG-1,278.2886622218033
ABERU-1,300.70644079566296
BRGG-1,235.00496727633993
BRIDU-1,305.0376860877257
CORB-1,294.5745816406288
COWE1,325.1228075824694
COWE2,309.45902472942515
CROYD-2,269.29331443713215
DBFRM-1,260.07777850024587
DERW-1,352.22172575586484
DIDC01G,259.08667412820984
DIDC02G,326.2316507867945
DIDC03G,331.4134769924275
DIDC04G,286.7732996874582
FAWN-1,338.3208184830259
FDUNT-1,284.0898001267752
FELL-1,331.5809140764685
GYAR-1,221.30480902225162
KLYN-A-1,233.40705718255964
LNMTH-1,274.6485198754845
LNMTH-2,288.67932622932625
LNMTH-3,264.35658121070077
MDLWH-1,288.3053570623076
PETEM1,271.3553894489983
PETDG-1,285.05070369646046
SEVIU-1,281.0283795574376
SHOS-1,217.60792512351958
SOLUU-1,301.97828636445973
TAYL2G,296.8669828390983
TAYL3G,331.5321170277375
THRNL-1,286.9773256759826
VKING-2,275.7637147073333
CARR-1,194.05776785714284
CARR-2,220.14461160714285
CDCL-1,238.83989880952382
CNQPS-1,257.55646723986155
CNQPS-2,340.6946346926158
CNQPS-3,225.65706390977442
CNQPS-4,263.1322821776589
COSO-1,285.61533333333335
DAMC-1,238.7815183968062
DIDCB5,197.82567635864586
DIDCB6,208.86676942876943
EECL-1,188.76888149052067
GRAI-6,224.80927234716245
GRAI-7,272.69218145360014
GRAI-8,166.72893589743592
GRAI1G,310.4203835117234
GRAI4G,325.5272411962861
GRMO-1,320.0192108027159
HUMR-1,249.1577353552098
INDQ-1,342.1891394022403
KEAD-1,252.66326915150444
KEAD-2,341.5708502661003
KEADGT-3,324.5836236588202
KILLPG-1,258.1677977099643
KILLPG-2,276.840039845988
LAGA-1,229.4497319837026
LBAR-1,301.7135810173795
LBAR-1G,295.560282299534
MEDP-1,172.86651439645624
MRWD-1,300.0282089077265
PEHE-1,228.02332961993497
PEHE-2,305.12552547601234
PEHED-1,280.2310418912907
PEMB-11,200.79723637379914
PEMB-21,212.60368543255848
PEMB-31,200.2270588235294
PEMB-41,207.26526809056955
PEMB-51,215.58172522493845
RATS-1,259.0643088005226
RATS-2,213.194946540109
RATS-3,293.7082548154601
RATS-4,220.23981387955436
RATSGT-2,287.7712284096578
RATSGT-4,280.2794960598484
ROCK-1,270.8439418636889
RYHPS-1,246.4327879552975
SCCL-1,366.37974351864415
SCCL-2,196.8269773755656
SCCL-3,223.75948849652306
SEAB-1,213.32736995920106
SEAB-2,240.2113652853383
SEEL-1,266.24603738577156
SHBA-1,238.90551041130482
SHBA-2,261.6141760440853
SPLN-1,245.1417375806538
STAY-1,218.86834626760873
STAY-2,203.83151983440433
STAY-3,194.61999999999998
STAY-4,198.30837694931773
SUTB-1,319.3755964725923
SVRP-10,283.22038294072036
SVRP-20,379.4198276324503
TSREP-1,344.0804224271296
WBURB-1,274.24903371985073
WBURB-2,235.49613586853204
WBURB-3,216.3070420509052
WILCT-1,290.441839461523
DRAXD-2,321.6635531318368
MARK-1,324.71957491952713
TIBG-1,232.40781818181821
DRAXX-1,234.5727494322053
DRAXX-2,231.32224349286946
DRAXX-3,274.19076152516953
DRAXX-4,285.6335900428654
DRAXX-5,233.1310018117293
DRAXX-6,283.5109177512086
