,0
BRGDG-1,243.03132438275117
ABERU-1,255.3048792548784
BRGG-1,278.7009655335116
BRIDU-1,297.1087164546331
CORB-1,187.04845041557152
COWE1,243.3539998667055
COWE2,267.58037693778255
DBFRM-1,151.63480201087177
DERW-1,200.08691857413461
DIDC01G,277.8217909348236
DIDC02G,329.1201651490335
DIDC03G,298.44467388848216
DIDC04G,245.27582162111514
FAWN-1,178.36000625015333
FDUNT-1,177.09947706223375
FELL-1,226.69993589743586
GYAR-1,157.09854214716913
KLYN-A-1,150.75440763438817
LNMTH-1,192.25858937008417
LNMTH-2,128.43523809523808
LNMTH-3,239.9664670019422
MDLWH-1,175.92546991563384
PETEM1,343.0995336231053
PETDG-1,243.03132438275117
SEVIU-1,317.9477249107202
SHOS-1,182.0018167720101
SOLUU-1,265.76240820727304
TAYL2G,233.4760663386835
TAYL3G,269.1746310393137
THRNL-1,224.46769813546993
CARR-1,164.8711524759078
CARR-2,171.50791173139157
CDCL-1,145.6750100126561
CNQPS-1,243.2643973905724
CNQPS-2,153.24648246229538
CNQPS-3,297.92602857631243
CNQPS-4,294.68842360023507
COSO-1,253.43904044117645
DAMC-1,153.72995859213253
DIDCB5,153.00859006063854
DIDCB6,171.48357366231073
EECL-1,139.03224865481093
GRAI-6,132.0424572928765
GRAI-7,126.5427536219778
GRAI-8,249.01473668057963
GRAI1G,255.28261343607318
GRAI4G,291.09487806883385
GRMO-1,144.70449416758822
HUMR-1,203.92727029674586
INDQ-1,256.1314162435581
KEAD-1,190.3946182600622
KEAD-2,153.15060694499874
KEADGT-3,258.5901112994067
KILLPG-1,260.1064045517653
KILLPG-2,229.62852929142477
LAGA-1,180.5179389782412
LBAR-1,181.4570542044304
LBAR-1G,249.7345114856591
MEDP-1,269.9661111111111
MRWD-1,132.0125411340168
PEHE-1,234.8421708179989
PEHE-2,230.71079052086884
PEHED-1,235.3388788289967
PEMB-11,134.25612824663648
PEMB-21,126.60754112947811
PEMB-31,132.08147228270354
PEMB-41,132.27150449365078
PEMB-51,126.28381981953558
RATS-1,149.8894075578242
RATS-2,165.64303043203023
RATS-3,165.13529485916024
RATS-4,159.2951768442546
RATSGT-2,211.4886229265826
RATSGT-4,318.1466674122263
ROCK-1,238.48659804334724
RYHPS-1,146.57081585028868
SCCL-1,142.16277792255883
SCCL-2,267.6295629398916
SCCL-3,152.4975999003641
SEAB-1,225.6390083576815
SEAB-2,192.5116531180221
SEEL-1,272.2760234618259
SHBA-1,200.53280860188644
SHBA-2,257.96387931034485
SPLN-1,150.3220178218404
STAY-1,143.09643882246948
STAY-2,146.60805598946814
STAY-3,146.21593921575564
STAY-4,153.53485229250052
SUTB-1,235.19326137064942
SVRP-10,260.9833873262689
SVRP-20,243.02677103804382
TSREP-1,259.15813114794986
WBURB-1,141.39979077290002
WBURB-2,177.43352200729547
WBURB-3,172.79659043051785
WILCT-1,190.70847117093263
DRAXD-2,221.7020491353013
MARK-1,204.4995954701775
TIBG-1,177.53282693029234
DRAXX-1,111.22308270520328
DRAXX-2,196.81535439920557
DRAXX-3,150.72017850930717
DRAXX-4,180.94718805505204
DRAXX-5,202.4905281013533
DRAXX-6,191.83782035040582
