,0
BRGDG-1,192.98566916254094
ABERU-1,194.3398553480011
BRGG-1,268.69835341660956
BRIDU-1,197.69947185217714
CORB-1,237.89031569111143
COWE1,196.284343220339
COWE2,196.284343220339
DBFRM-1,200.77438047889464
DERW-1,354.10246824193143
DIDC01G,329.2550366084769
DIDC02G,195.41023354564757
DIDC03G,344.1591758171863
DIDC04G,224.0240089122832
FAWN-1,252.55800243085022
FDUNT-1,196.55488742368743
FELL-1,234.4786065742458
GYAR-1,160.56516447558292
KLYN-A-1,168.73531477813216
LNMTH-1,250.12862901995675
LNMTH-2,271.0966415589441
LNMTH-3,342.70116429180706
MDLWH-1,190.3372438791707
PETEM1,185.32873065015482
PETDG-1,191.89220550079523
SEVIU-1,214.0064128936972
SHOS-1,144.2255343480999
SOLUU-1,197.69947185217714
TAYL2G,286.01735920109263
TAYL3G,282.62107852277603
THRNL-1,194.95970814132102
CARR-1,160.17504647279245
CARR-2,156.6700235442662
CDCL-1,146.85214930970716
CNQPS-1,165.25940563260085
CNQPS-2,180.39068395509727
CNQPS-3,162.51505863162583
CNQPS-4,174.35406154432908
COSO-1,170.33106881618968
DAMC-1,167.34071729120421
DIDCB5,168.05166535947714
DIDCB6,155.43117049501225
EECL-1,143.85208754045996
GRAI-6,105.11694862637361
GRAI-7,131.97770931409127
GRAI-8,162.8665390625
GRAI1G,241.13390218288828
GRAI4G,289.3880184212633
GRMO-1,276.5823484243115
HUMR-1,164.90865448730466
INDQ-1,195.99367303609344
KEAD-1,182.76298312868192
KEAD-2,232.53170940170938
KEADGT-3,248.40546429309632
KILLPG-1,300.9218201457724
KILLPG-2,416.7171428571428
LAGA-1,164.50405733572373
LBAR-1,168.60998990616253
LBAR-1G,232.85968054035118
MEDP-1,168.09855348868612
MRWD-1,164.48143902176253
PEHE-1,167.54988095238093
PEHE-2,307.36922624296085
PEHED-1,248.4669659802331
PEMB-11,144.83143775247802
PEMB-21,141.00643840254176
PEMB-31,158.37496875053958
PEMB-41,138.95695586310546
PEMB-51,114.97940969873734
RATS-1,262.8835657021068
RATS-2,161.67720887279083
RATS-3,162.19271998287635
RATS-4,158.7608975134813
RATSGT-2,258.1939585846691
RATSGT-4,229.54948337993943
ROCK-1,174.0431608789212
RYHPS-1,218.19711097055176
SCCL-1,167.15630580387736
SCCL-2,172.49806138231136
SCCL-3,154.51849595704556
SEAB-1,188.41154392898065
SEAB-2,187.13985050065224
SEEL-1,192.8161681985294
SHBA-1,172.45916313034883
SHBA-2,219.8251265348161
SPLN-1,162.7541427869827
STAY-1,155.61013912012172
STAY-2,163.64896372639987
STAY-3,156.15786999509206
STAY-4,160.8473549749476
SUTB-1,155.70197206430117
SVRP-10,329.49238943467367
SVRP-20,290.7100116452254
TSREP-1,250.84107074600956
WBURB-1,156.59118234439057
WBURB-2,162.61728394655526
WBURB-3,172.65631658687883
WILCT-1,188.06514136412608
DRAXD-2,223.52407989219594
MARK-1,239.61119231801536
TIBG-1,191.41226165633395
DRAXX-1,140.41129112554114
DRAXX-2,176.8310606060606
DRAXX-3,154.16725376536152
DRAXX-4,177.82878486850916
DRAXX-5,211.785072924995
DRAXX-6,232.55093916875566
