,0
BRGDG-1,192.98566916254094
ABERU-1,194.3398553480011
BRGG-1,261.12291931279896
BRIDU-1,197.69947185217714
CORB-1,237.89031569111143
COWE1,196.284343220339
COWE2,196.284343220339
DBFRM-1,200.77438047889464
DERW-1,207.0126684162277
DIDC01G,235.89536244162886
DIDC02G,195.41023354564757
DIDC03G,270.9788969921953
DIDC04G,197.03207766762438
FAWN-1,272.27838979401105
FDUNT-1,196.55488742368743
FELL-1,211.2427277988424
GYAR-1,160.56516447558292
KLYN-A-1,168.73531477813216
LNMTH-1,253.3513976620537
LNMTH-2,181.34174909910763
LNMTH-3,250.93420269544285
MDLWH-1,190.3372438791707
PETEM1,185.32873065015482
PETDG-1,191.89220550079523
SEVIU-1,214.0064128936972
SHOS-1,144.2255343480999
SOLUU-1,197.69947185217714
TAYL2G,285.3820379070091
TAYL3G,242.1683157270815
THRNL-1,194.95970814132102
CARR-1,160.17504647279245
CARR-2,156.6700235442662
CDCL-1,146.85214930970716
CNQPS-1,165.25940563260085
CNQPS-2,180.39068395509727
CNQPS-3,162.51505863162583
CNQPS-4,174.35406154432908
COSO-1,170.33106881618968
DAMC-1,167.34071729120421
DIDCB5,168.05166535947714
DIDCB6,155.43117049501225
EECL-1,143.85208754045996
GRAI-6,105.11694862637361
GRAI-7,131.97770931409127
GRAI-8,162.8665390625
GRAI1G,235.20487946949237
GRAI4G,282.36556527939734
GRMO-1,239.09527717866166
HUMR-1,164.90865448730466
INDQ-1,195.99367303609344
KEAD-1,182.76298312868192
KEAD-2,232.53170940170938
KEADGT-3,248.40546429309632
KILLPG-1,206.63961217133388
KILLPG-2,416.7171428571428
LAGA-1,164.50405733572373
LBAR-1,168.60998990616253
LBAR-1G,207.82287832546322
MEDP-1,168.09855348868612
MRWD-1,164.48143902176253
PEHE-1,167.54988095238093
PEHE-2,315.59785591446325
PEHED-1,248.4669659802331
PEMB-11,144.83143775247802
PEMB-21,141.00643840254176
PEMB-31,158.37496875053958
PEMB-41,138.95695586310546
PEMB-51,114.97940969873734
RATS-1,262.8835657021068
RATS-2,161.67720887279083
RATS-3,162.19271998287635
RATS-4,158.7608975134813
RATSGT-2,326.416695693416
RATSGT-4,313.31001025231774
ROCK-1,174.0431608789212
RYHPS-1,218.19711097055176
SCCL-1,167.15630580387736
SCCL-2,172.49806138231136
SCCL-3,154.51849595704556
SEAB-1,188.41154392898065
SEAB-2,187.13985050065224
SEEL-1,192.8161681985294
SHBA-1,172.45916313034883
SHBA-2,221.13708817382124
SPLN-1,162.7541427869827
STAY-1,155.61013912012172
STAY-2,163.64896372639987
STAY-3,156.15786999509206
STAY-4,160.8473549749476
SUTB-1,229.8120197497972
SVRP-10,262.7797887355202
SVRP-20,268.3744985896851
TSREP-1,207.81196991663074
WBURB-1,156.59118234439057
WBURB-2,162.61728394655526
WBURB-3,172.65631658687883
WILCT-1,188.06514136412608
DRAXD-2,223.52407989219594
MARK-1,200.76874652193789
TIBG-1,202.29655026141032
DRAXX-1,140.41129112554114
DRAXX-2,176.8310606060606
DRAXX-3,154.16725376536152
DRAXX-4,177.82878486850916
DRAXX-5,193.34205232359596
DRAXX-6,222.5749055563368
