,0
BRGDG-1,243.03132438275117
ABERU-1,324.8426267401113
BRGG-1,345.31567244726887
BRIDU-1,349.92556587467016
CORB-1,307.03349522978885
COWE1,288.2105280900728
COWE2,275.73743849815224
DBFRM-1,158.90037021786623
DERW-1,260.05707404045467
DIDC01G,290.28377944358743
DIDC02G,236.3246353828323
DIDC03G,283.3879609636476
DIDC04G,348.15038087158723
FAWN-1,203.17778751372379
FDUNT-1,246.02388610226546
FELL-1,250.7532187830688
GYAR-1,191.1920338960601
KLYN-A-1,189.34185934454226
LNMTH-1,271.17090946864096
LNMTH-2,286.2747350377316
LNMTH-3,218.9443752018776
MDLWH-1,214.39111111111114
PETEM1,278.7766571203889
PETDG-1,243.03132438275117
SEVIU-1,324.9453503008774
SHOS-1,209.37558380685292
SOLUU-1,293.9968123203825
TAYL2G,246.0534977202259
TAYL3G,317.70969745025843
THRNL-1,238.07211713006137
CARR-1,191.6103824526467
CARR-2,203.3904049216657
CDCL-1,151.34320921755142
CNQPS-1,259.0695179124579
CNQPS-2,158.01597955870497
CNQPS-3,271.4823954890275
CNQPS-4,303.64382241575163
COSO-1,253.43904044117645
DAMC-1,259.4416634383021
DIDCB5,200.36961995138196
DIDCB6,202.32469751130762
EECL-1,208.44942067219998
GRAI-6,215.59532318632185
GRAI-7,126.52523412698413
GRAI-8,166.93428571428572
GRAI1G,348.61788873473023
GRAI4G,347.00699072133307
GRMO-1,362.38012161662084
HUMR-1,224.31870423900168
INDQ-1,329.4482162951318
KEAD-1,339.17716917974764
KEAD-2,178.40753855974987
KEADGT-3,221.16736440110378
KILLPG-1,197.64604457339595
KILLPG-2,248.17538294798396
LAGA-1,212.65274368596215
LBAR-1,232.21017465721937
LBAR-1G,270.4076089686478
MEDP-1,299.96035409035414
MRWD-1,164.97326288178888
PEHE-1,261.7114198018298
PEHE-2,263.9712895365758
PEHED-1,259.2884919203495
PEMB-11,171.13177577874777
PEMB-21,157.0008387463172
PEMB-31,152.85621499786924
PEMB-41,164.72995699699743
PEMB-51,153.24221816214506
RATS-1,151.24578961969405
RATS-2,197.8902638863914
RATS-3,194.71172066483606
RATS-4,188.46641494421183
RATSGT-2,282.64545593154816
RATSGT-4,273.5316672425499
ROCK-1,254.00657685935738
RYHPS-1,310.4082783544531
SCCL-1,140.74203770376369
SCCL-2,217.0363779527559
SCCL-3,160.1986717028886
SEAB-1,273.3101809316319
SEAB-2,236.47214136320065
SEEL-1,378.93311739711226
SHBA-1,239.9578577789057
SHBA-2,279.7895132902299
SPLN-1,161.0780350082598
STAY-1,167.34788076911587
STAY-2,191.73446332688673
STAY-3,174.05700803313104
STAY-4,175.60692137733736
SUTB-1,325.88672259583285
SVRP-10,287.2261803849553
SVRP-20,231.54184942707894
TSREP-1,300.41116750309004
WBURB-1,147.43791147324455
WBURB-2,217.10599339076742
WBURB-3,211.3191977586687
WILCT-1,187.467714598435
DRAXD-2,252.29942599471033
MARK-1,216.8750721716224
TIBG-1,213.18975675130307
DRAXX-1,156.8024035311094
DRAXX-2,222.94269277299577
DRAXX-3,194.55890852555194
DRAXX-4,188.58100299837844
DRAXX-5,215.48067573024193
DRAXX-6,248.920705145309
