,0
BRGDG-1,87.07653496211819
ABERU-1,99.65336360971332
BRGG-1,109.82330712329816
BRIDU-1,111.67741534138642
CORB-1,99.25520671716481
COWE1,104.68869086107946
COWE2,98.43754778428627
CROYD-2,114.36818574197024
DBFRM-1,96.13716936729593
DERW-1,95.16192351568714
DIDC01G,104.85209123070017
DIDC02G,107.0072244820781
DIDC03G,95.64948882903619
DIDC04G,112.00542598205062
FAWN-1,101.0136236702133
FDUNT-1,109.63792369923304
FELL-1,98.03756462585034
GYAR-1,89.65937270879147
KLYN-A-1,90.68018316149472
LNMTH-1,103.4157627118644
LNMTH-2,96.27044922173933
LNMTH-3,113.13661198232062
MDLWH-1,108.72556819099589
PETEM1,107.72098155729465
PETDG-1,110.07379646763762
SEVIU-1,99.80460073900812
SHOS-1,85.79696224923289
SOLUU-1,96.34257491675916
TAYL2G,104.30696523111736
TAYL3G,108.74965909514657
THRNL-1,96.85678579114703
VKING-2,85.75617179738643
CARR-1,85.57071791141311
CARR-2,83.8631932684723
CDCL-1,80.45485195826008
CNQPS-1,111.9645509228312
CNQPS-2,94.6864751597935
CNQPS-3,101.18563219886909
CNQPS-4,94.21505573274804
COSO-1,111.96107365998705
DAMC-1,101.04
DIDCB5,88.81315375375377
DIDCB6,98.36056438546865
EECL-1,76.87710649897122
GRAI-6,82.48694144177779
GRAI-7,110.42283630651652
GRAI-8,82.355665988639
GRAI1G,96.84568807999675
GRAI4G,112.47727730158056
GRMO-1,113.48609315831258
HUMR-1,82.10375155569831
INDQ-1,98.56206002944998
KEAD-1,97.81237061842236
KEAD-2,67.10363250278277
KEADGT-3,109.37251789472194
KILLPG-1,90.67513232610482
KILLPG-2,108.34472730906282
LAGA-1,89.90473022675928
LBAR-1,94.12746723646724
LBAR-1G,127.36979149963419
MEDP-1,77.28000000000002
MRWD-1,95.97178632387842
PEHE-1,94.02125929625929
PEHE-2,110.63399661901065
PEHED-1,99.2027538654719
PEMB-11,74.51133320900436
PEMB-21,78.10676559573182
PEMB-31,76.03380077436381
PEMB-41,77.58573648703175
PEMB-51,82.53540428890513
RATS-1,114.68018546871676
RATS-2,102.22136363636363
RATS-3,107.79972188715773
RATS-4,106.76250186239392
RATSGT-2,99.77799171397461
RATSGT-4,105.32357814418656
ROCK-1,105.48148148148145
RYHPS-1,105.59893313662432
SCCL-1,117.2054946517095
SCCL-2,91.82182718280912
SCCL-3,113.4497473445084
SEAB-1,92.72454232237168
SEAB-2,92.30130568027681
SEEL-1,102.63035337461042
SHBA-1,90.13766221913941
SHBA-2,98.10742057463014
SPLN-1,96.14399999999999
STAY-1,84.19965272978908
STAY-2,83.35934594015572
STAY-3,82.2964290103153
STAY-4,84.02005961465731
SUTB-1,99.8034309589333
SVRP-10,112.28778391907211
SVRP-20,113.34606534261633
TSREP-1,99.88220605748224
WBURB-1,86.14514084202362
WBURB-2,81.87549557751622
WBURB-3,84.83356268307799
WILCT-1,93.98854695796328
DRAXD-2,166.43025129918334
MARK-1,125.25292129647721
TIBG-1,106.33395093653006
DRAXX-1,139.5003561911157
DRAXX-2,40.523896021021024
DRAXX-3,61.776659212431376
DRAXX-4,93.23088287250384
DRAXX-5,108.04627683285773
DRAXX-6,104.5145244346277
