,0
BRGDG-1,194.19764695139682
ABERU-1,194.3398553480011
BRGG-1,305.7790405103441
BRIDU-1,197.69947185217714
CORB-1,237.89031569111143
COWE1,196.284343220339
COWE2,196.284343220339
DBFRM-1,195.70205065212454
DERW-1,168.9544196305763
DIDC01G,268.5819084664785
DIDC02G,195.41023354564757
DIDC03G,214.58480026158983
DIDC04G,257.7143439732082
FAWN-1,219.09052497474013
FDUNT-1,196.55488742368743
FELL-1,280.72901117561605
GYAR-1,152.99325327380953
KLYN-A-1,175.4583008617313
LNMTH-1,266.81309497636175
LNMTH-2,297.7424108373951
LNMTH-3,288.68226825358465
MDLWH-1,187.3111633771887
PETEM1,185.32873065015482
PETDG-1,193.14368799868782
SEVIU-1,214.0064128936972
SHOS-1,163.8024453063485
SOLUU-1,197.69947185217714
TAYL2G,343.26965820784665
TAYL3G,238.95459338905445
THRNL-1,194.95970814132102
CARR-1,155.55228620863718
CARR-2,153.68308747194163
CDCL-1,157.3254601282214
CNQPS-1,167.357659273526
CNQPS-2,176.41015116506017
CNQPS-3,162.51505863162583
CNQPS-4,175.88271909068894
COSO-1,168.53336787568077
DAMC-1,169.39185787792852
DIDCB5,169.69814572649574
DIDCB6,153.21118415356574
EECL-1,158.63442487256572
GRAI-6,140.01484398954705
GRAI-7,159.6013563565163
GRAI-8,150.8793333333333
GRAI1G,331.63895263363173
GRAI4G,305.42187870110575
GRMO-1,251.87476796030992
HUMR-1,161.01610920411468
INDQ-1,195.99367303609344
KEAD-1,182.76298312868192
KEAD-2,148.99053333333336
KEADGT-3,248.40546429309632
KILLPG-1,286.9152893011203
KILLPG-2,416.7171428571428
LAGA-1,166.36085529466303
LBAR-1,166.56336540102532
LBAR-1G,194.09071331541315
MEDP-1,168.09855348868612
MRWD-1,152.1920963979594
PEHE-1,170.36658190784405
PEHE-2,228.93093113791247
PEHED-1,218.6790230717894
PEMB-11,147.3483309820623
PEMB-21,146.55015089654285
PEMB-31,157.80503230168517
PEMB-41,145.70312585835381
PEMB-51,142.9204001452433
RATS-1,262.8835657021068
RATS-2,149.18234531265114
RATS-3,154.70949880814325
RATS-4,156.7092272917191
RATSGT-2,298.1025384142005
RATSGT-4,208.85537942282983
ROCK-1,174.0431608789212
RYHPS-1,218.19711097055176
SCCL-1,166.16406006154963
SCCL-2,200.3665714285714
SCCL-3,198.17616244648454
SEAB-1,187.5824514148563
SEAB-2,185.26955304240315
SEEL-1,192.8161681985294
SHBA-1,175.68557022608383
SHBA-2,302.05323933372296
SPLN-1,161.72160544750588
STAY-1,151.4918657319786
STAY-2,155.14841763165109
STAY-3,156.4123548974297
STAY-4,162.073186390165
SUTB-1,242.62440336748028
SVRP-10,237.43654713330773
SVRP-20,191.34646213814233
TSREP-1,260.32640892650636
WBURB-1,158.2500041235596
WBURB-2,158.61565756453132
WBURB-3,165.20239940808682
WILCT-1,224.60141779011528
DRAXD-2,209.0968961260435
MARK-1,203.33172226873236
TIBG-1,235.057104349137
DRAXX-1,138.45966416666667
DRAXX-2,189.94608873836057
DRAXX-3,157.1340011663707
DRAXX-4,173.4080319546918
DRAXX-5,215.1670709677121
DRAXX-6,291.7122972880678
