,0
BRGDG-1,241.0328132387707
ABERU-1,236.84816882303298
BRGG-1,224.81553023713707
BRIDU-1,236.94985032691463
CORB-1,272.3811105185703
COWE1,305.58368366549325
COWE2,315.77535728952233
CROYD-2,213.878050905488
DBFRM-1,181.04088251948545
DERW-1,262.6799303056285
DIDC01G,202.63915120616522
DIDC02G,248.09815776994628
DIDC03G,259.3394638296556
DIDC04G,226.17079545297986
FAWN-1,273.05049055211174
FDUNT-1,226.13601533746225
FELL-1,307.0919870225434
GYAR-1,154.92154648096363
KLYN-A-1,138.05430037371735
LNMTH-1,268.37961158509006
LNMTH-2,216.9761077885167
LNMTH-3,279.3305312035156
MDLWH-1,212.10141187621218
PETEM1,230.19382987426548
PETDG-1,213.58121932541815
SEVIU-1,213.988227404497
SHOS-1,157.47492259065262
SOLUU-1,246.8767647078741
TAYL2G,231.66923779274552
TAYL3G,288.4087257495918
THRNL-1,167.12880262249826
VKING-2,205.0804992104052
CARR-1,143.0788983191722
CARR-2,137.09317223329688
CDCL-1,155.12092344541162
CNQPS-1,160.59580489651924
CNQPS-2,282.52439019171874
CNQPS-3,165.88725559937356
CNQPS-4,177.4906682095103
COSO-1,228.9604325885393
DAMC-1,179.64532499006035
DIDCB5,195.33646191180196
DIDCB6,142.6423014400955
EECL-1,125.99375127175412
GRAI-6,147.9824011886239
GRAI-7,264.8654493719462
GRAI-8,129.97387497908704
GRAI1G,182.70603250398545
GRAI4G,323.9467659694193
GRMO-1,293.823998331047
HUMR-1,158.13772116652228
INDQ-1,245.31972596038332
KEAD-1,128.94267119159343
KEAD-2,193.50907450733385
KEADGT-3,241.1989216993636
KILLPG-1,225.8366535836455
KILLPG-2,237.28030973012974
LAGA-1,164.11855996149558
LBAR-1,176.38631046950803
LBAR-1G,278.26661014856836
MEDP-1,143.13840455915957
MRWD-1,112.6970813326055
PEHE-1,160.33681643250605
PEHE-2,188.58987361153146
PEHED-1,198.8539155910526
PEMB-11,134.00773243957343
PEMB-21,126.51287144081054
PEMB-31,119.02505301655151
PEMB-41,120.73703438278666
PEMB-51,126.12265956207747
RATS-1,245.5699960632902
RATS-2,163.3187370563863
RATS-3,283.6407704778025
RATS-4,169.6444309081455
RATSGT-2,283.9949710087319
RATSGT-4,182.5665708787634
ROCK-1,203.86011883675687
RYHPS-1,204.5200678439819
SCCL-1,141.49308263137792
SCCL-2,146.50168962603686
SCCL-3,163.14631524726175
SEAB-1,148.57793215970042
SEAB-2,162.96078947331148
SEEL-1,265.73953655587803
SHBA-1,170.0332875374218
SHBA-2,178.45294748529142
SPLN-1,157.11282955303335
STAY-1,136.38724492401315
STAY-2,129.58010637080247
STAY-3,133.0370882245803
STAY-4,129.94265107654445
SUTB-1,170.9298169788818
SVRP-10,277.25065685434333
SVRP-20,237.4188378667108
TSREP-1,178.86962691416684
WBURB-1,129.57554076126485
WBURB-2,155.83349246578388
WBURB-3,143.0395089709098
WILCT-1,259.90713261648744
DRAXD-2,247.87004899974878
MARK-1,204.99169329771527
TIBG-1,220.05167395264118
DRAXX-1,200.98223737373735
DRAXX-2,156.08101168237897
DRAXX-3,117.96684117647058
DRAXX-4,146.75521435487212
DRAXX-5,208.83716951781412
DRAXX-6,265.23880243307383
