,0
BRGDG-1,145.3437411887583
ABERU-1,139.396515846201
BRGG-1,129.75297417248606
BRIDU-1,133.58752766093795
CORB-1,138.08295454545453
COWE1,146.2516424201126
COWE2,151.24941580401196
CROYD-2,132.98140645586298
DBFRM-1,138.52887681122976
DERW-1,153.0183237361762
DIDC01G,127.02054631096566
DIDC02G,156.36220487126116
DIDC03G,140.08418858294036
DIDC04G,146.63622242221507
FAWN-1,140.58160432185684
FDUNT-1,130.48394850243605
FELL-1,138.52898412698414
GYAR-1,120.27394955141911
KLYN-A-1,121.65586319690607
LNMTH-1,140.88797335245002
LNMTH-2,142.7307618985375
LNMTH-3,137.71679280110132
MDLWH-1,140.93403647077906
PETEM1,155.75120222326575
PETDG-1,143.9466364384307
SEVIU-1,134.08631155351938
SHOS-1,120.29499272255521
SOLUU-1,123.79436146992926
TAYL2G,146.1032743363145
TAYL3G,128.72507310662854
THRNL-1,149.0823272595215
VKING-2,133.43225830771482
CARR-1,120.28330629105544
CARR-2,120.36541840848356
CDCL-1,112.06649451547057
CNQPS-1,130.31860288236948
CNQPS-2,120.97702672466191
CNQPS-3,149.4231412170727
CNQPS-4,135.37419402042335
COSO-1,138.6904592602712
DAMC-1,129.50343472445707
DIDCB5,116.00931372431918
DIDCB6,122.95407226424678
EECL-1,104.8605113329875
GRAI-6,116.14775972630527
GRAI-7,147.2253580145914
GRAI-8,105.90199203005868
GRAI1G,134.2724358032166
GRAI4G,137.80788226782067
GRMO-1,133.5547314026233
HUMR-1,116.92018397495043
INDQ-1,146.1687280511251
KEAD-1,133.3633229702687
KEAD-2,109.13487190581591
KEADGT-3,134.24881482564328
KILLPG-1,145.65624830317122
KILLPG-2,141.3307655962853
LAGA-1,117.31791543236
LBAR-1,120.73103425713134
LBAR-1G,133.90937180195465
MEDP-1,133.2378672837085
MRWD-1,108.59366736089814
PEHE-1,126.91295600272215
PEHE-2,148.29499138573834
PEHED-1,134.63858574425782
PEMB-11,113.8677100302508
PEMB-21,113.16371096403536
PEMB-31,111.20240735039859
PEMB-41,115.24391252069896
PEMB-51,113.84270445757612
RATS-1,143.32040089511315
RATS-2,124.23656792654504
RATS-3,123.63372148722628
RATS-4,124.75890936095064
RATSGT-2,135.88450062597136
RATSGT-4,157.3154318892949
ROCK-1,145.93972809316932
RYHPS-1,132.06270499630205
SCCL-1,123.19472185934218
SCCL-2,128.4905822021116
SCCL-3,134.91446428571427
SEAB-1,126.14473732586013
SEAB-2,124.4721156999262
SEEL-1,137.02844480151057
SHBA-1,123.35247406689605
SHBA-2,125.99193113999824
SPLN-1,123.3019249705111
STAY-1,119.59509778087472
STAY-2,118.886763555549
STAY-3,120.88836376324217
STAY-4,117.97289497770039
SUTB-1,125.10023121404919
SVRP-10,145.03997821637287
SVRP-20,155.20969931455284
TSREP-1,126.44409339953602
WBURB-1,113.78233011419853
WBURB-2,115.01109255038205
WBURB-3,117.28615622671512
WILCT-1,120.00854518832043
DRAXD-2,131.88748174610956
MARK-1,152.3691868294483
TIBG-1,172.4788524934938
DRAXX-1,166.87636713310573
DRAXX-2,136.4675347222222
DRAXX-3,91.34839009287926
DRAXX-4,125.31180324074076
DRAXX-5,196.11289494834529
DRAXX-6,185.6646889574999
