,0
BRGDG-1,367.66583894770173
ABERU-1,354.6997571449404
BRGG-1,398.4347719800149
BRIDU-1,355.3418569868974
CORB-1,488.8663752170933
COWE1,497.9372183495374
COWE2,471.48235493098804
CROYD-2,368.9848306162255
DBFRM-1,330.12706113250863
DERW-1,400.76791364903767
DIDC01G,547.2660970869559
DIDC02G,363.62427271386207
DIDC03G,448.3918187431995
DIDC04G,478.47890417425015
FAWN-1,572.1681420848215
FDUNT-1,371.31392844798785
FELL-1,432.2241157989218
GYAR-1,274.71138909386235
KLYN-A-1,292.14069691268287
LNMTH-1,463.31612328875474
LNMTH-2,473.5681196870108
LNMTH-3,455.08989426368595
MDLWH-1,374.617587877082
PETEM1,555.671104439195
PETDG-1,367.66583894770173
SEVIU-1,340.66101968184415
SHOS-1,261.4448849503438
SOLUU-1,356.3378133169194
TAYL2G,340.5629887354288
TAYL3G,597.7664440957925
THRNL-1,468.0447560102757
VKING-2,383.40059261912353
CARR-1,493.3379636539631
CARR-2,664.0022487428123
CDCL-1,452.8101158041812
CNQPS-1,335.90348417592844
CNQPS-2,416.9505993525967
CNQPS-3,548.7140301645098
CNQPS-4,283.9607400544588
COSO-1,293.5646190476191
DAMC-1,254.00829508623428
DIDCB5,292.2362678062678
DIDCB6,278.9084546458469
EECL-1,433.2042410714285
GRAI-6,345.636709851069
GRAI-7,587.9832505613668
GRAI-8,446.94187981937097
GRAI1G,474.68565375899385
GRAI4G,469.71718865498764
GRMO-1,424.8212346823784
HUMR-1,259.940462430937
INDQ-1,543.807277027027
KEAD-1,297.73467294257534
KEAD-2,538.9485234093637
KEADGT-3,323.8530914337839
KILLPG-1,344.62486391616375
KILLPG-2,369.0627749625758
LAGA-1,247.7804206582633
LBAR-1,469.6038813357783
LBAR-1G,367.27539885193767
MEDP-1,456.09339643919145
MRWD-1,426.71689315981
PEHE-1,475.6383702419262
PEHE-2,372.4073614503026
PEHED-1,469.52331009709303
PEMB-11,226.04049229691876
PEMB-21,291.92900000000003
PEMB-31,298.3975988428158
PEMB-41,243.910137254902
PEMB-51,272.89047794117647
RATS-1,330.72790669267914
RATS-2,233.46094154328398
RATS-3,394.97686619521244
RATS-4,228.55018243613236
RATSGT-2,408.7522688503196
RATSGT-4,471.39105787873973
ROCK-1,302.69412562524326
RYHPS-1,244.518733026544
SCCL-1,408.9650407932654
SCCL-2,323.21136718743236
SCCL-3,235.14411421568624
SEAB-1,265.59234318582276
SEAB-2,281.0727530986956
SEEL-1,352.39111498585976
SHBA-1,263.6045751023165
SHBA-2,291.05259218705316
SPLN-1,274.3726546845535
STAY-1,232.3264572899867
STAY-2,238.40201281253243
STAY-3,517.1870941016965
STAY-4,248.55263510338344
SUTB-1,551.0281852043955
SVRP-10,442.6482290304819
SVRP-20,463.7791002371457
TSREP-1,374.77719418001755
WBURB-1,278.03743750219644
WBURB-2,280.3661379420144
WBURB-3,307.5405143441853
WILCT-1,409.7128996533129
DRAXD-2,372.94800581297903
MARK-1,354.96666568898115
TIBG-1,313.98296900300716
DRAXX-1,339.1481585089893
DRAXX-2,315.2862236681479
DRAXX-3,306.3526816895528
DRAXX-4,362.63167635940897
DRAXX-5,391.3184474188274
DRAXX-6,359.90647826556017
