Technology,Installed_Capacity_GW,Notes,Source_URL
Onshore wind,15.3,"GB onshore wind capacity end-2024 (Electric Insights)","https://reports.electricinsights.co.uk/wp-content/uploads/2025/03/WEL._Drax_EIQ_2024_Q4_Artwork.pdf"
Offshore wind,14.8,"GB offshore wind capacity end-2024 (Electric Insights)","https://reports.electricinsights.co.uk/wp-content/uploads/2025/03/WEL._Drax_EIQ_2024_Q4_Artwork.pdf"
Solar PV,17.2,"GB solar PV capacity end-2024 (Electric Insights)","https://reports.electricinsights.co.uk/wp-content/uploads/2025/03/WEL._Drax_EIQ_2024_Q4_Artwork.pdf"
Battery storage (BESS),4.7,"Total battery capacity in GB (end 2024)","https://modoenergy.com/research/gb-battery-energy-storage-markets-2024-year-in-review-great-britain-wholesale-balancing-mechanism-frequency-response-reserve"
Pumped-storage hydro (PSH),2.8,"Operational pumped hydro capacity in GB (4 schemes)","https://www.drax.com/wp-content/uploads/2024/07/Cruachan-July-30-2024-Final-1.pdf"
