Datetime (UTC),Norway,Belgium,France,Germany,Netherlands,Ireland,Denmark
2024-07-27 13:00:00,22.7115964,25.5547643,15.860996000000002,29.545323400000004,27.166174000000005,75.0360098,29.545323400000004
2024-07-27 14:00:00,24.2302024,44.2336181,12.655050000000001,57.1333324,49.405315200000004,72.55562,57.1333324
2024-07-27 15:00:00,26.9046363,64.7347991,26.584041700000004,79.9208591,70.9020268,77.95510800000001,73.4499102
2024-07-27 16:00:00,27.5289521,62.95465540000001,46.60433080000001,88.5600399,86.9064467,92.8037,88.5600399
2024-07-27 17:00:00,27.166174000000005,67.5020367,47.836089,98.44785230000001,97.5788722,110.85823800000001,97.950087
2024-07-27 18:00:00,26.2212636,67.2320623,43.98051710000001,103.855777,102.72525920000001,106.9942294,103.1977144
2024-07-27 19:00:00,26.069403,67.7973212,45.4316295,102.7758794,101.60317810000001,105.46718670000001,102.7758794
2024-07-27 20:00:00,25.352283500000002,66.9199044,51.2023323,91.200727,90.7029617,107.06172300000001,91.200727
2024-07-27 21:00:00,25.1751128,61.6047834,47.844525700000005,82.6290398,82.19876810000001,110.6557572,82.6290398
2024-07-27 22:00:00,25.959725900000002,51.3120094,25.310100000000002,92.7952633,90.27269,110.0230047,92.7952633
2024-07-27 23:00:00,24.7364044,51.6072939,33.2912182,80.24145370000001,79.80274530000001,97.02205000000001,80.24145370000001
2024-07-28 00:00:00,24.3198348,48.5384424,32.0468444,74.41042759999999,73.895856,87.0722632,74.41042759999999
2024-07-28 01:00:00,24.1342516,39.5123504,20.6334776,68.7754468,68.7754468,89.5270228,68.7754468
2024-07-28 02:00:00,24.0330244,33.5821236,12.054472399999998,66.2532024,67.948758,87.2072328,66.2532024
2024-07-28 03:00:00,23.999281999999997,41.081372,24.4379332,66.8605656,65.1565744,87.1481836,66.8605656
2024-07-28 04:00:00,24.716308,34.037646,14.0115316,63.7140868,63.7140868,84.356,63.7140868
2024-07-28 05:00:00,23.704036000000002,28.976286,8.9333004,61.250891599999996,56.898122,86.3046236,61.250891599999996
2024-07-28 06:00:00,22.2024992,21.5023444,21.5023444,21.5023444,21.5023444,94.47872,21.4770376
2024-07-28 07:00:00,14.1549368,4.0659592,4.0406524,4.1503152,4.0828304,113.8806,4.175622
2024-07-28 08:00:00,9.7768604,0.0,0.0,0.0,0.0,111.687344,0.0
2024-07-28 09:00:00,8.4187288,-1.6786843999999999,-0.0084356,-2.0498508,-4.133444,104.29775839999999,-2.0498508
2024-07-28 10:00:00,3.0452516,-11.4471092,-0.0084356,-14.028402799999999,-27.761559599999995,94.9005,-12.687142399999999
2024-07-28 11:00:00,-3.1802212,-29.7017476,-12.5184304,-33.666479599999995,-54.097502799999994,80.728692,-25.138088
2024-07-28 12:00:00,-11.2024768,-39.1664908,-30.494694,-41.072936399999996,-50.6136,70.9349604,-41.072936399999996
2024-07-28 13:00:00,-5.0529244,-26.8505148,-25.348978,-28.2845668,-28.343616,68.53925,-28.2845668
2024-07-28 14:00:00,5.2385076,-9.8612164,-6.664124,-11.6158212,-11.134991999999999,69.551522,-11.2024768
2024-07-28 15:00:00,13.4800888,-1.138806,0.12653399999999998,-1.6786843999999999,-1.6111996,73.5415608,-1.096628
2024-07-28 16:00:00,21.9663024,34.0207748,34.8052856,34.4762972,33.742399999999996,80.1382,13.707849999999999
2024-07-28 17:00:00,24.1933008,54.114374000000005,40.1028424,78.0124288,76.257824,94.3015724,45.7378232
2024-07-28 18:00:00,24.9609404,60.3482824,40.0606644,94.35218599999999,92.2685928,105.4956136,66.5315772
2024-07-28 19:00:00,26.2937652,59.9939872,37.5215488,97.56614959999999,94.7992728,105.445,65.5193052
2024-07-28 20:00:00,25.4502052,60.6435284,43.7638928,88.531622,86.9879072,98.0975924,66.6243688
2024-07-28 21:00:00,25.087474399999998,52.0813944,40.364346,71.2470776,70.02391560000001,84.77777999999999,53.0936664
2024-07-28 22:00:00,23.5606308,35.00774,14.3236488,67.1389404,65.8482936,77.0001568,52.1151368
