Project Name,Project Location,Region,Applicant,Technology Type,Size (MW),Strike Price (£/MWh),Delivery Year,Pot
Benbrack Wind Farm - AR6 - A2,NS535014,Scotland,BENBRACK WIND FARM LIMITED,Onshore Wind (>5MW),22.50,50.90,2026/27,Pot 1
Benbrack Wind Farm - AR6 - A3,NS540005,Scotland,BENBRACK WIND FARM LIMITED,Onshore Wind (>5MW),13.50,50.90,2026/27,Pot 1
Crystal Rig IV Ltd,NT672684,Scotland,CRYSTAL RIG IV LIMITED,Onshore Wind (>5MW),48.20,50.90,2026/27,Pot 1
Kirk Hill Wind Farm,NS263055,Scotland,KIRK HILL WIND FARM LIMITED,Onshore Wind (>5MW),7.05,50.90,2026/27,Pot 1
Corriegarth 2 Wind Farm Limited,NH575131,Scotland,CORRIEGARTH 2 WIND FARM LIMITED,Onshore Wind (>5MW),66.19,50.90,2027/28,Pot 1
BROWNHILL WIND FARM,NS885620,Scotland,BROWNHILL WIND FARM LTD,Onshore Wind (>5MW),8.40,50.90,2027/28,Pot 1
Pant y Maen Wind Limited,SH970590,Wales,PANT Y MAEN WIND LIMITED,Onshore Wind (>5MW),18.00,50.90,2027/28,Pot 1
Camilty Wind Farm,NT056593,Scotland,CAMILTY WIND FARM PARTNERSHIP LLP,Onshore Wind (>5MW),21.60,50.90,2026/27,Pot 1
Lorg Wind Farm,NS668008,Scotland,RWE RENEWABLES UK ONSHORE WIND LIMITED,Onshore Wind (>5MW),44.00,50.90,2027/28,Pot 1
Tacher Turbines,ND173473,Scotland,CE TACHER TURBINES LTD,Onshore Wind (>5MW),12.90,50.90,2026/27,Pot 1
Clashindarroch II Wind Farm,NJ457349,Scotland,VATTENFALL WIND POWER LTD,Onshore Wind (>5MW),77.00,50.90,2027/28,Pot 1
Easter Drumclair wind farm,NS868716,Scotland,TAMANI LTD,Onshore Wind (>5MW),6.00,50.90,2026/27,Pot 1
Lethans Wind Farm,NS689164,Scotland,BANKS RENEWABLES (LETHANS WIND FARM) LIMITED,Onshore Wind (>5MW),120.00,50.90,2027/28,Pot 1
Golticlay Wind Farm,ND222404,Scotland,RWE RENEWABLES UK ONSHORE WIND LIMITED,Onshore Wind (>5MW),64.60,50.90,2027/28,Pot 1
Priestgill Wind Farm,NS951257,Scotland,PRIESTGILL WIND FARM LIMITED,Onshore Wind (>5MW),43.63,50.90,2026/27,Pot 1
Heathland Wind Farm - Zone 2,NS967573,Scotland,HEATHLAND WIND FARM PARTNERSHIP LLP,Onshore Wind (>5MW),40.10,50.90,2027/28,Pot 1
Carno Wind Farm Extension Phase III,SN920940,Wales,AMEGNI RENEWABLES LIMITED,Onshore Wind (>5MW),45.00,50.90,2027/28,Pot 1
Abergorki Wind Farm,SS963986,Wales,REG ABERGORKI LTD,Onshore Wind (>5MW),9.60,50.90,2026/27,Pot 1
Alaska Wind Farm,SY872883,England,Alaska Wind Farm Limited Liability Partnership,Onshore Wind (>5MW),8.00,50.90,2027/28,Pot 1
Chleansaid Wind Farm,NC615173,Scotland,ESB ASSET DEVELOPMENT UK LIMITED,Onshore Wind (>5MW),96.00,50.90,2027/28,Pot 1
Cloiche Wind Farm,NH497030,Scotland,SSE GENERATION LIMITED,Onshore Wind (>5MW),130.50,50.90,2027/28,Pot 1
WINDY STANDARD III LIMITED,NS574004,Scotland,WINDY STANDARD III LIMITED,Onshore Wind (>5MW),87.60,50.90,2026/27,Pot 1
Green Volt Offshore Windfarm (GV01),NJ830445,Scotland,GREEN VOLT OFFSHORE WINDFARM LTD,Floating Offshore Wind,400.00,139.93,2028/29,Pot 2
Hornsea Project Four Offshore Wind Farm,TA042348,England,ORSTED HORNSEA PROJECT FOUR LIMITED,Offshore Wind,2400.00,58.87,2028/29,Pot 3
East Anglia Two Phase 1,TM415611,England,EAST ANGLIA TWO LIMITED,Offshore Wind,963.07,58.87,2028/29,Pot 3
