cumvol_MWh,marginal_price_GBP_per_MWh
5000,-55.20000000000001
10000,-45.0
15000,-35.0
20000,4.0
25000,20.66
30000,25.11
35000,31.0
40000,47.0
45000,71.5
50000,75.0
55000,84.52
60000,86.48
65000,85.0
70000,88.0
75000,88.0
80000,91.25
85000,93.46
90000,94.0
95000,97.27
100000,97.48
105000,103.38
110000,100.29
115000,103.5
120000,115.37
125000,110.0
130000,115.37
135000,125.75
