cumvol_MWh,marginal_price_GBP_per_MWh
5000,92.99
10000,111.98
15000,117.0
20000,119.57
25000,123.9
30000,126.195
35000,126.82
40000,130.0
45000,122.60499999999999
50000,125.0
55000,126.43
60000,133.0
65000,139.5
70000,139.9
75000,134.81
80000,131.5
85000,137.9
90000,143.21
95000,143.0
100000,136.9
105000,142.27812356979405
110000,166.05
115000,114.0
120000,119.4
125000,145.0
