cumvol_MWh,marginal_price_GBP_per_MWh
5000,-145.0
10000,-120.0
15000,-82.0
20000,-3.0
25000,-0.0
30000,21.0
35000,56.58
40000,66.74
45000,69.49
50000,70.97
55000,71.42
60000,71.5
65000,75.0
70000,74.58
75000,76.0
80000,80.17
85000,81.52
90000,84.64
95000,85.24
100000,97.0
105000,85.24
110000,88.0
115000,108.69
