,gradient,error,factor,factor_relative_to_2019
2022-01,0.0081620132629876,0.0007258761071829,2.491034144053356,3.736551216080034
2022-02,0.0041497589441186,0.0003262131679348,1.2665001741992383,1.8997502612988573
2022-03,0.0084813528661107,0.0005933520501654,2.5884961095386703,3.882744164308005
2022-04,0.0060728725274579,0.0004409958256365,1.8534315408406807,2.7801473112610218
2022-05,0.0041373036003661,0.0004610040432776,1.2626988220617572,1.894048233092636
2022-06,0.0067203475836254,0.0005936832111935,2.051039951948029,3.076559927922044
2022-07,0.0108909283311081,0.0007674795873718,3.3238949091462,4.9858423637193
2022-08,0.0129375407464499,0.0012545422079718,3.9485179331467344,5.922776899720102
2022-09,0.0094617256969775,0.0008206446090393,2.887704419658165,4.331556629487247
2022-10,0.0041890224870013,0.0005274214025809,1.2784833482992763,1.9177250224489144
2022-11,0.0061549300892342,0.0005209099237569,1.8784753849973133,2.81771307749597
2022-12,0.0136393053318389,0.0005326145098417,4.162695426733845,6.244043140100768
2023-01,0.0053693714015013,0.0002747548523696,1.6387240576900814,2.458086086535122
2023-02,0.0033209833327723,0.0002195715082655,1.0135591069524696,1.5203386604287044
2023-03,0.0043123760977508,0.0003092670303917,1.3161306843508842,1.9741960265263263
2023-04,0.0030874443431542,0.0003283568926539,0.9422833593689056,1.4134250390533585
2023-05,0.0031680666420633,0.0002625560516357,0.9668891634620548,1.4503337451930822
2023-06,0.0031851541655464,0.0002790111102214,0.9721042498705472,1.4581563748058208
2023-07,0.0053329524042043,0.0003617073562654,1.627609034614787,2.44141355192218
2023-08,0.0029345721640282,0.0002556446273863,0.8956270007464989,1.3434405011197483
2023-09,0.0043766662336524,0.0003288859671557,1.335751936914016,2.003627905371024
2023-10,0.0047068880615184,0.000308425273162,1.436535140986485,2.154802711479728
2023-11,0.0033233698564159,0.0001714240297594,1.0142874703709448,1.5214312055564172
2023-12,0.0038206637488202,0.00017831882551,1.1660608166880422,1.7490912250320632
2024-01,0.0017815197876252,0.000119301630909,0.5437171536348029,0.8155757304522043
2024-02,0.001923204449402,0.0001271986154874,0.586959098826839,0.8804386482402586
2024-03,0.0022535108093562,0.0001832028510369,0.6877681019652013,1.031652152947802
2024-04,0.0049960831203348,0.0003165966043321,1.5247970369907382,2.2871955554861074
2024-05,0.0027627883194996,0.0002261160639995,0.8431988303516005,1.2647982455274007
2024-06,0.0043668013775928,0.0004108464636981,1.3327411977153651,1.999111796573048
2024-07,0.0029568157937916,0.000252159889529,0.9024157230191728,1.3536235845287592
2024-08,0.0038388109568602,0.0004370216454428,1.1715993172258867,1.75739897583883
2024-09,0.0028565231379889,0.0002642968187204,0.8718065556541754,1.3077098334812631
2024-10,0.0040720062011893,0.0003282704271082,1.24277015426542,1.8641552313981296
2024-11,0.0026089937408151,0.0001507372748739,0.7962609567744166,1.194391435161625
2024-12,0.0049016161943245,0.0002926726316617,1.4959658735763814,2.2439488103645724
2025-01,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-02,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-03,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-04,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-05,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-06,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-07,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-08,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-09,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-10,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-11,0.00327655615739835,0.00025903507639991663,1.0,1.5
2025-12,0.00327655615739835,0.00025903507639991663,1.0,1.5
