cumvol_MWh,marginal_price_GBP_per_MWh
5000,125.0
10000,139.5
15000,145.0
20000,156.45
25000,155.0
30000,157.0
35000,149.465
40000,149.9
45000,160.0
50000,154.0
55000,149.6
60000,155.0
65000,165.0
70000,170.0
75000,154.0
80000,159.0
85000,160.0
90000,175.0
95000,170.0
