cumvol_MWh,marginal_price_GBP_per_MWh
5000,-66.05
10000,-51.4
15000,-39.105670103092784
20000,-13.33
25000,11.29
30000,16.5
35000,22.87
40000,27.54430665163472
45000,31.0
50000,39.38
55000,43.79
60000,43.79
65000,53.7
70000,68.0
75000,74.07000000000001
80000,81.93
85000,82.0
90000,84.7
95000,84.7
100000,86.02
105000,86.19
110000,85.87
115000,89.61
120000,90.0
125000,91.0
130000,95.0
135000,97.78
140000,95.91
145000,100.62
