cumvol_MWh,marginal_price_GBP_per_MWh
5000,255.0
10000,290.0
15000,278.0
20000,267.0
25000,265.0
30000,264.9
35000,259.6296562303979
40000,267.95
45000,268.5
50000,285.0
55000,238.0
60000,243.0
65000,242.80000000000004
70000,235.0
75000,248.0
80000,307.0
85000,215.0
90000,230.0
95000,320.0
