region,avg_day_ahead_prices
Ireland,27.523904580908397
Norway,39.62129959127452
Netherlands,52.64353431746955
Belgium,54.960301853521855
France,56.172010759599935
Denmark,56.91164840918999
Germany,61.55423411891587
